nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions
Louis Antoine de Saint-Just,1767-08-25T00:00:00Z,Decize,1794-07-28T00:00:00Z,Paris,"Comité de salut public, député de la Convention nationale, Q65963741"
Aristide Boucicaut,1810-07-14T00:00:00Z,Bellême,1877-12-26T00:00:00Z,Ф,
Jacques Offenbach,1819-06-20T00:00:00Z,Cologne,1880-10-05T00:00:00Z,Paris,
Émile Littré,1801-02-01T00:00:00Z,Paris,1881-06-02T00:00:00Z,Paris,"député, sénateur inamovible, fauteuil 17 de l'Académie française"
Maurice Sidoine Storez,1804-01-01T00:00:00Z,Douai,1881-12-28T00:00:00Z,,
Gustave Doret,1866-09-20T00:00:00Z,Aigle,1943-04-19T00:00:00Z,Lausanne,
Victor Hugo,1802-02-26T00:00:00Z,maison natale de Victor Hugo,1885-05-22T00:00:00Z,Paris,"président, député, sénateur, Pair de France, fauteuil 14 de l'Académie française"
Georges Eugène Haussmann,1809-03-27T00:00:00Z,Paris,1891-01-11T00:00:00Z,Paris,"préfet, député, sous-préfet, secrétaire général, sénateur du Second Empire, conseiller de préfecture"
Théodore de Banville,1823-03-14T00:00:00Z,Moulins,1891-03-13T00:00:00Z,Paris,
Ernest Renan,1823-02-28T00:00:00Z,Tréguier,1892-10-02T00:00:00Z,Paris,"président, fauteuil 29 de l'Académie française, administrateur du Collège de France"
Antoine Chevandier,1822-05-27T00:00:00Z,Serres,1893-01-09T00:00:00Z,Paris,"député, sénateur"
Jules Ferry,1832-04-05T00:00:00Z,Saint-Dié-des-Vosges,1893-03-17T00:00:00Z,Paris,"député, président du Conseil, maire de Paris, ministre des Affaires étrangères, sénateur, ambassadeur de France en Grèce, ministre de l'Instruction publique et des Beaux-arts"
Guy de Maupassant,1850-08-05T00:00:00Z,Tourville-sur-Arques,1893-07-06T00:00:00Z,Passy,
Jules Lagneau,1851-08-08T00:00:00Z,Metz,1894-04-22T00:00:00Z,14e arrondissement de Paris,
Paul Verlaine,1844-03-30T00:00:00Z,Metz,1896-01-08T00:00:00Z,Paris,
Jules Simon,1814-12-31T00:00:00Z,Lorient,1896-06-08T00:00:00Z,Paris,"député, président du Conseil, sénateur inamovible, sénateur, fauteuil 8 de l'Académie française"
Alphonse Daudet,1840-05-13T00:00:00Z,Nîmes,1897-12-16T00:00:00Z,Paris,
Joseph Bertrand,1822-03-11T00:00:00Z,Paris,1900-04-03T00:00:00Z,Paris,fauteuil 40 de l'Académie française
Alexandre Falguière,1831-09-07T00:00:00Z,Toulouse,1900-04-19T00:00:00Z,Paris,
Alphonse Milne-Edwards,1835-10-13T00:00:00Z,Paris,1900-04-21T00:00:00Z,Paris,Directeur du Muséum national d'histoire naturelle
Edwards Pierrepont,1817-03-04T00:00:00Z,New York,1892-03-06T00:00:00Z,New York,"ambassadeur, procureur général des États-Unis"
Oscar Underwood,1862-05-06T00:00:00Z,Louisville,1929-01-25T00:00:00Z,Woodlawn,"sénateur des États-Unis, représentant des États-Unis"
Ignace Hoff,1836-07-20T00:00:00Z,Marmoutier,1902-05-29T00:00:00Z,Paris,
Louis Bizarelli,1836-01-25T00:00:00Z,Saint-Florent,1902-06-19T00:00:00Z,Paris,"député, sénateur"
Jean-Baptiste Clément Dulac,1805-11-26T00:00:00Z,Pointe-à-Pitre,1889-04-05T00:00:00Z,Tours,député
Bernard Lazare,1865-06-14T00:00:00Z,Nîmes,1903-09-01T00:00:00Z,Paris,
Joseph Fayard,1816-04-02T00:00:00Z,Metz,1908-01-28T00:00:00Z,Paris,"sénateur, maire de Chabeuil"
Nadarajah Raviraj,1962-06-25T00:00:00Z,Sri Lanka,2006-11-10T00:00:00Z,Sri Lanka,"Maire de Jaffna, parlementaire du Sri Lanka"
Henri Poincaré,1854-04-29T00:00:00Z,Nancy,1912-07-17T00:00:00Z,Paris,"président, fauteuil 24 de l'Académie française"
Jean Jaurès,1859-09-03T00:00:00Z,Castres,1914-07-31T00:00:00Z,Paris,"président, député"
Odilon Redon,1840-04-20T00:00:00Z,Bordeaux,1916-07-06T00:00:00Z,Paris,
Amédée Bollée,1844-01-11T00:00:00Z,quartier Bollée-Sainte-Croix,1917-01-20T00:00:00Z,Paris,
Jules Lachelier,1832-05-27T00:00:00Z,Fontainebleau,1918-01-26T00:00:00Z,Paris,
Guillaume Apollinaire,1880-08-26T00:00:00Z,Rome,1918-11-09T00:00:00Z,Paris,
Jeanne Hébuterne,1898-04-06T00:00:00Z,Meaux,1920-01-26T00:00:00Z,Paris,
Hortense Schneider,1833-04-30T00:00:00Z,Bordeaux,1920-05-06T00:00:00Z,Paris,
Paul Deschanel,1855-02-13T00:00:00Z,Schaerbeek,1922-04-28T00:00:00Z,Paris,"président de la République française, coprince d'Andorre, député, sénateur, fauteuil 19 de l'Académie française"
Raymond Radiguet,1903-06-18T00:00:00Z,Saint-Maur-des-Fossés,1923-12-12T00:00:00Z,Paris,
Gustave Eiffel,1832-12-15T00:00:00Z,Dijon,1923-12-27T00:00:00Z,Paris,
Gabriel Faure,1958-12-03T00:00:00Z,,,,"maire de Suzan, conseiller municipal de Suzan, conseiller communautaire de Couserans-Pyrénées"
Jules César,-0099-07-01T00:00:00Z,Rome,-0043-03-13T00:00:00Z,théâtre de Pompée,"consul, questeur, édile, dictateur, sénateur romain"
Theophile Boucher,1802-03-13T00:00:00Z,Sélestat,1871-12-20T00:00:00Z,Édimbourg,
Erik Satie,1866-05-17T00:00:00Z,Honfleur,1925-07-01T00:00:00Z,Paris,
