,nom,lon,lat,inception,height
680,hôtel de Clisson,2.35786,48.8606,,
684,hôtel de Clermont,2.31791,48.8554,,
685,hôtel de Cluny,2.34422,48.8505,,
686,hôtel de Comans d'Astry,2.35817,48.8505,,
687,hôtel de Donon,2.36144,48.8582,,
688,hôtel de Fourcy,2.36639,48.8549,,
689,hôtel de Guénégaud,2.35856,48.8613,,
690,hôtel de Gunsburg,2.29548,48.87513,,
691,hôtel de Jarnac,2.31618,48.8513,,
692,hôtel de Jassaud,2.35553,48.8527,,
696,hôtel de Hirsch,2.3167,48.8688,,
697,hôtel de L'Hospital,2.34154,48.8658,,
698,hôtel de La Vaupalière,2.3133,48.8713,,
702,hôtel de Mademoiselle Mars,2.33409,48.87762,1820-01-01T00:00:00Z,
703,hôtel de Mademoiselle Duchesnois,2.33387,48.87762,,
704,hôtel de Maisons,2.32526,48.8586,,
705,hôtel de Martignac,2.31847,48.8573,,
706,hôtel de Marle,2.36225,48.8585,,
707,hôtel de Massa,2.3376,48.8362,,
708,hôtel de Marigny,2.3152777777778,48.870555555556,,
709,hôtel de Masseran,2.3146,48.8483,,
710,hôtel de Miramion,2.35194,48.8506,,
711,hôtel de Metz de Rosnay,2.34054,48.8659,,
712,hôtel de Mondragon,2.33262,48.8683,,
713,hôtel de Montbrun,2.36458,48.8563,,
714,hôtel de Montesquiou,2.31584,48.8502,,
