nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions,birthYear,deathYear
Pierre Sandrin,1490-01-01T00:00:00Z,Paris,1561-01-01T00:00:00Z,Italie,,1490.0,1561.0
Jean Cholet,1250-01-01T00:00:00Z,Nointel,1293-08-02T00:00:00Z,Rome,"cardinal, évêque catholique",1250.0,1293.0
Pierre de Poitiers,1130-01-01T00:00:00Z,Poitiers,1215-01-01T00:00:00Z,Paris,,1130.0,1215.0
Jean Raulin,1443-01-01T00:00:00Z,Toul,1514-01-01T00:00:00Z,,,1443.0,1514.0
Q64009679,,,1501-07-13T00:00:00Z,,"président, chanoine",,1501.0
Jean Avis Loysel,1450-01-01T00:00:00Z,Beauvais,,,"régent, doyen, Premier médecin du roi",1450.0,
Jean Fusoris,1365-01-01T00:00:00Z,Giraumont,1436-01-01T00:00:00Z,,,1365.0,1436.0
Simon de Phares,1444-08-09T00:00:00Z,Châteaudun,,,,1444.0,
Thomas de Pisan,1350-01-01T00:00:00Z,,1387-01-01T00:00:00Z,,,1350.0,1387.0
Thomas Aubert,1450-01-01T00:00:00Z,Rouen,,,,1450.0,
Jean de La Barre,,,1534-03-01T00:00:00Z,,,,1534.0
Jean de La Baume,1350-01-01T00:00:00Z,t1757149657,1435-01-01T00:00:00Z,t1757149662,"lieutenant-général, maréchal de France",1350.0,1435.0
Jean de La Grange,1325-01-01T00:00:00Z,France,1402-04-01T00:00:00Z,Avignon,"évêque, abbé",1325.0,1402.0
Jean II de France,1319-04-24T00:00:00Z,Le Mans,1364-04-16T00:00:00Z,Londres,"duc de Normandie, roi de France",1319.0,1364.0
Pierre de Pise,0744-01-01T00:00:00Z,Pise,,Lombardie,,744.0,
Marie de Bretagne,1268-01-01T00:00:00Z,,1339-05-14T00:00:00Z,,,1268.0,1339.0
Nicolas de Myre,0270-03-15T00:00:00Z,Patara,0343-12-07T00:00:00Z,Myra,"évêque catholique, évêque diocésain",270.0,343.0
Pierre de Bar,1101-01-01T00:00:00Z,Bar-sur-Aube,1253-01-18T00:00:00Z,Pérouse,"cardinal, évêque catholique",1101.0,1253.0
Jean de Boves,1400-01-01T00:00:00Z,Boves,,,,1400.0,
Jean de Cornouailles,1150-01-01T00:00:00Z,,,,,1150.0,
Jean III de Craon,1329-01-01T00:00:00Z,,1373-03-26T00:00:00Z,,archevêque,1329.0,1373.0
Robert de Harcourt,,,1205-01-01T00:00:00Z,,,,1205.0
Jean Le Fèvre,,France,1372-03-06T00:00:00Z,Avignon,"cardinal, évêque catholique",,1372.0
Gautier Le Leu,1210-01-01T00:00:00Z,,,,,1210.0,
Pierre de Saint-Cloud,1100-01-01T00:00:00Z,,,,,1100.0,
Guillaume de Marcossey,1300-01-01T00:00:00Z,Scionzier,1377-12-31T00:00:00Z,,évêque de Genève,1300.0,1377.0
Guillaume de Cambrai,1430-01-01T00:00:00Z,Bourges,1505-08-31T00:00:00Z,Bourges,archevêque catholique,1430.0,1505.0
Jean Ier de Bourgogne,1371-06-05T00:00:00Z,Dijon,1419-09-19T00:00:00Z,Montereau-Fault-Yonne,régent,1371.0,1419.0
Olivier de La Marche,1425-01-01T00:00:00Z,Saône-et-Loire,1502-01-01T00:00:00Z,Bruxelles,,1425.0,1502.0
Jean Bureau,1390-01-01T00:00:00Z,Semoine,1463-07-05T00:00:00Z,Paris,"prévôt des marchands de Paris, Grand maître de l'artillerie de France, maire de Bordeaux",1390.0,1463.0
Jean du Drac,,,1473-05-26T00:00:00Z,Meaux,évêque,,1473.0
Jean Jouvenel des Ursins,1400-01-01T00:00:00Z,,1431-04-01T00:00:00Z,Poitiers,prévôt des marchands de Paris,1400.0,1431.0
"Jean de Montmirail, évêque",,Champagne,1479-01-01T00:00:00Z,,évêque de Vaison,,1479.0
Guillaume de Champeaux,1070-01-01T00:00:00Z,Champeaux,1121-01-01T00:00:00Z,Châlons-en-Champagne,évêque de Châlons-en-Champagne,1070.0,1121.0
Q41618232,1203-01-01T00:00:00Z,,1273-01-01T00:00:00Z,,,1203.0,1273.0
Guillaume de La Tournelle,1150-01-01T00:00:00Z,,,,,1150.0,
Pierre de Laval,,,1357-01-11T00:00:00Z,Rennes,évêque,,1357.0
Thomas Simonsson,1380-01-01T00:00:00Z,,1443-01-01T00:00:00Z,,évêque catholique,1380.0,1443.0
Jean de La Rochetaillée,1360-01-01T00:00:00Z,France,1437-03-24T00:00:00Z,Bologne,"évêque catholique, archevêque catholique",1360.0,1437.0
Jean de La Baume,1350-01-01T00:00:00Z,t1755663198,1435-01-01T00:00:00Z,t1755663195,"lieutenant-général, maréchal de France",1350.0,1435.0
Pierre Le Verrat,1350-01-01T00:00:00Z,,,,,1350.0,
Jean de Marle,,,1418-06-12T00:00:00Z,,évêque,,1418.0
Simon Morhier,1390-01-01T00:00:00Z,,1449-01-01T00:00:00Z,La Boissière-École,,1390.0,1449.0
Philippe de Ternant,1400-01-01T00:00:00Z,Bourgogne,1456-01-01T00:00:00Z,,,1400.0,1456.0
Guillaume de Tignonville,,,1414-01-01T00:00:00Z,,prévôt de Paris,,1414.0
Philippe de Morvilliers,1380-01-01T00:00:00Z,Amiens,1438-08-03T00:00:00Z,Lille,Premier président du Parlement de Paris,1380.0,1438.0
Jean de Barton,,,1544-09-21T00:00:00Z,,évêque,,1544.0
Jean Raoul Pétraliphas,,,1274-01-01T00:00:00Z,,stratège,,1274.0
Raymond du Temple,1400-01-01T00:00:00Z,,1404-01-01T00:00:00Z,,,1400.0,1404.0
Jacques de Metz,,,1302-01-01T00:00:00Z,,,,1302.0
Thomas de Savoie-Achaïe,1323-01-01T00:00:00Z,,1362-01-01T00:00:00Z,Turin,évêque de Turin,1323.0,1362.0
